"","CITY","PROPERTY.TYPE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","X..SQUARE.FEET","State","Violent.Crimes","Murder.and.Non.Negligent.Manslaughter","Rape","Robbery","Aggravated.Assault"
"776","Dallas","Single Family Residential",336900,3,2,1470,11326,1940,229,"Texas",8457,116,781,3856,3704
"777","Dallas","Single Family Residential",129500,3,2,1400,12415,1962,93,"Texas",8457,116,781,3856,3704
"778","Dallas","Single Family Residential",449990,4,2.5,2732,7841,1981,165,"Texas",8457,116,781,3856,3704
"779","Dallas","Single Family Residential",185000,3,1,1123,7187,1955,165,"Texas",8457,116,781,3856,3704
"780","Dallas","Single Family Residential",219900,3,2,1519,7754,1960,145,"Texas",8457,116,781,3856,3704
"781","Dallas","Condo/Co-op",95000,2,2.5,1119,5009,1982,85,"Texas",8457,116,781,3856,3704
"784","Dallas","Single Family Residential",178900,4,2,1807,16988,2017,99,"Texas",8457,116,781,3856,3704
"785","Dallas","Single Family Residential",100500,3,1.5,909,8581,1941,111,"Texas",8457,116,781,3856,3704
"786","Dallas","Single Family Residential",999000,5,3.5,3365,17816,1964,297,"Texas",8457,116,781,3856,3704
"787","Dallas","Single Family Residential",148000,3,2,1304,8015,1917,113,"Texas",8457,116,781,3856,3704
"788","Dallas","Single Family Residential",363700,4,3,2617,8712,1979,139,"Texas",8457,116,781,3856,3704
"790","Dallas","Single Family Residential",120000,4,2.5,1621,4966,2002,74,"Texas",8457,116,781,3856,3704
"791","Dallas","Single Family Residential",65000,4,2,1250,7231,1950,52,"Texas",8457,116,781,3856,3704
"792","Dallas","Multi-Family (2-4 Unit)",600000,3,2.5,2480,3572,2017,242,"Texas",8457,116,781,3856,3704
"794","Dallas","Single Family Residential",315000,4,3,2547,8973,1979,124,"Texas",8457,116,781,3856,3704
"795","Dallas","Single Family Residential",375000,5,2,3000,7492,1906,125,"Texas",8457,116,781,3856,3704
"796","Dallas","Single Family Residential",169900,4,2,1710,7492,2017,99,"Texas",8457,116,781,3856,3704
"797","Dallas","Single Family Residential",175000,3,2,1568,9845,1970,112,"Texas",8457,116,781,3856,3704
